lambda            n
2.25377507   1.47078587
2.25428314   1.47075184
2.25479143   1.47071775
2.25529995   1.47068358
2.25580871   1.47064935
2.25631769   1.47061504
2.25682690   1.47058066
2.25733634   1.47054621
2.25784601   1.47051167
2.25835592   1.47047706
2.25886605   1.47044236
2.25937641   1.47040759
2.25988701   1.47037272
2.26039783   1.47033777
2.26090889   1.47030267
2.26142017   1.47026760
2.26193169   1.47023238
2.26244344   1.47019707
2.26295542   1.47016168
2.26346763   1.47012621
2.26398008   1.47009067
2.26449275   1.47005506
2.26500566   1.47001937
2.26551880   1.46998363
2.26603218   1.46994782
2.26654578   1.46991196
2.26705962   1.46987603
2.26757370   1.46984005
2.26808800   1.46980400
2.26860254   1.46976791
2.26911731   1.46973175
2.26963232   1.46969555
2.27014756   1.46965929
2.27066303   1.46962297
2.27117874   1.46958661
2.27169468   1.46955019
2.27221086   1.46951373
2.27272727   1.46947721
2.27300000   1.46945804
2.27324392   1.46944064
2.27376080   1.46940401
2.27427792   1.46936734
2.27479527   1.46933061
2.27531286   1.46929384
2.27583068   1.46925701
2.27634874   1.46922013
2.27686703   1.46918319
2.27738556   1.46914621
2.27790433   1.46910917
2.27842333   1.46907208
2.27894257   1.46903493
2.27946205   1.46899773
2.27998176   1.46896047
2.28050171   1.46892316
2.28102190   1.46888579
2.28154232   1.46884837
2.28206298   1.46881089
2.28258388   1.46877335
2.28310502   1.46873575
2.28362640   1.46869809
2.28414801   1.46866037
2.28466987   1.46862259
2.28519196   1.46858474
2.28571429   1.46854684
2.28623685   1.46850887
2.28675966   1.46847083
2.28728271   1.46843273
2.28780599   1.46839456
2.28832952   1.46835633
2.28885328   1.46831803
2.28937729   1.46827966
2.28990153   1.46824122
2.29042602   1.46820271
2.29095074   1.46816413
2.29147571   1.46812548
2.29200092   1.46808675
2.29252636   1.46804796
2.29305205   1.46800908
2.29357798   1.46797014
2.29410415   1.46793112
2.29463056   1.46789202
2.29515722   1.46785284
2.29568411   1.46781359
2.29621125   1.46777425
2.29673863   1.46773484
2.29726625   1.46769535
2.29779412   1.46765577
2.29832222   1.46761612
2.29885057   1.46757638
2.29937917   1.46753656
2.29990800   1.46749665
2.30043708   1.46745666
2.30096641   1.46741658
2.30149597   1.46737642
2.30202578   1.46733617
2.30255584   1.46729583
2.30308614   1.46725540
2.30361668   1.46721488
2.30414747   1.46717427
2.30467850   1.46713357
2.30520977   1.46709277
2.30574130   1.46705188
2.30627306   1.46701090
2.30680507   1.46696982
2.30733733   1.46692864
2.30786984   1.46688737
2.30840259   1.46684599
2.30893558   1.46680452
2.30946882   1.46676294
2.31000231   1.46672126
2.31053604   1.46667948
2.31107003   1.46663759
2.31160425   1.46659559
2.31213873   1.46655348
2.31267345   1.46651127
2.31320842   1.46646894
2.31374364   1.46642627
2.31427910   1.46638393
2.31481481   1.46634248
2.31535078   1.46630087
2.31588698   1.46625910
2.31642344   1.46621661
2.31696015   1.46617453
2.31749710   1.46613176
2.31803431   1.46608937
2.31857176   1.46604647
2.31910946   1.46600362
2.31964741   1.46596042
2.32018561   1.46591730
2.32072407   1.46587413
2.32126277   1.46583040
2.32180172   1.46578693
2.32234092   1.46574293
2.32288037   1.46569918
2.32342007   1.46565492
2.32396003   1.46561089
2.32450023   1.46556638
2.32504069   1.46552208
2.32558140   1.46547765
2.32600000   1.46544287
2.32612235   1.46543278
