lambda            k
2.26654578   0.00030395
2.26705962   0.00030419
2.26757370   0.00030443
2.26808800   0.00030467
2.26860254   0.00030491
2.26911731   0.00030515
2.26963232   0.00030539
2.27014756   0.00030563
2.27066303   0.00030587
2.27117874   0.00030611
2.27169468   0.00030635
2.27221086   0.00030660
2.27272727   0.00030684
2.27324392   0.00030708
2.27376080   0.00030732
2.27427792   0.00030757
2.27479527   0.00030781
2.27531286   0.00030805
2.27583068   0.00030830
2.27634874   0.00030854
2.27686703   0.00030879
2.27738556   0.00030903
2.27790433   0.00030927
2.27842333   0.00030952
2.27894257   0.00030977
2.27946205   0.00031001
2.27998176   0.00031026
2.28050171   0.00031050
2.28102190   0.00031075
2.28154232   0.00031100
2.28206298   0.00031124
2.28258388   0.00031149
2.28310502   0.00031174
2.28362640   0.00031199
2.28414801   0.00031223
2.28466987   0.00031248
2.28519196   0.00031273
2.28571429   0.00031298
2.28623685   0.00031323
2.28675966   0.00031348
2.28728271   0.00031373
2.28780599   0.00031398
2.28832952   0.00031423
2.28885328   0.00031448
2.28937729   0.00031473
2.28990153   0.00031498
2.29042602   0.00031523
2.29095074   0.00031548
2.29147571   0.00031574
2.29200092   0.00031599
2.29252636   0.00031624
2.29305205   0.00031649
2.29357798   0.00031675
2.29410415   0.00031700
2.29463056   0.00031725
2.29515722   0.00031751
2.29568411   0.00031776
2.29621125   0.00031801
2.29673863   0.00031827
2.29726625   0.00031852
2.29779412   0.00031878
2.29832222   0.00031904
2.29885057   0.00031929
2.29937917   0.00031955
2.29990800   0.00031980
2.30043708   0.00032006
2.30096641   0.00032032
2.30149597   0.00032057
2.30202578   0.00032083
2.30255584   0.00032109
2.30308614   0.00032135
2.30361668   0.00032161
2.30414747   0.00032186
2.30467850   0.00032212
2.30520977   0.00032238
2.30574130   0.00032264
2.30627306   0.00032290
2.30680507   0.00032316
2.30733733   0.00032342
2.30786984   0.00032368
2.30840259   0.00032394
2.30893558   0.00032421
2.30946882   0.00032447
2.31000231   0.00032473
2.31053604   0.00032499
2.31107003   0.00032525
2.31160425   0.00032552
2.31213873   0.00032578
2.31267345   0.00032604
2.31320842   0.00032631
2.31374364   0.00032657
2.31427910   0.00032683
2.31481481   0.00032710
2.31535078   0.00032736
2.31588698   0.00032763
2.31642344   0.00032789
2.31696015   0.00032816
2.31749710   0.00032843
2.31803431   0.00032869
2.31857176   0.00032896
2.31910946   0.00032922
2.31964741   0.00032949
2.32018561   0.00032976
2.32072407   0.00033003
2.32126277   0.00033030
2.32180172   0.00033056
2.32234092   0.00033083
2.32288037   0.00033110
2.32342007   0.00033137
2.32396003   0.00033164
2.32450023   0.00033191
2.32504069   0.00033218
2.32558140   0.00033245
2.32612235   0.00033272
2.32666356   0.00033299
2.32720503   0.00033326
2.32774674   0.00177789
2.32828871   0.00419083
2.32842748   0.00476090
2.32883093   0.00317540
2.32937340   0.00053242
2.32991612   0.00033462
2.33045910   0.00033490
2.33100233   0.00033517
2.33154581   0.00033545
2.33208955   0.00033572
2.33263354   0.00033599
2.33317779   0.00033627
2.33372229   0.00033654
2.33426704   0.00033682
2.33481205   0.00033709
2.33535731   0.00033737
2.33590283   0.00033765
2.33644860   0.00033792
2.33699462   0.00033820
2.33754091   0.00033848
2.33808744   0.00033876
2.33863424   0.00033903
2.33918129   0.00033931
2.33972859   0.00033959
2.34027615   0.00033987
2.34082397   0.00034015
2.34137204   0.00034043
2.34192037   0.00034071
2.34246896   0.00034099
2.34301781   0.00034127
2.34356691   0.00034155
2.34411627   0.00034183
2.34466589   0.00034211
2.34521576   0.00034239
2.34576589   0.00034267
2.34631628   0.00034296
2.34686693   0.00034324
2.34741784   0.00034352
2.34796901   0.00034380
2.34852043   0.00034409
2.34907212   0.00034437
2.34962406   0.00034466
2.35017626   0.00034494
2.35072873   0.00034523
2.35128145   0.00034551
2.35183443   0.00034580
2.35238767   0.00034608
2.35294118   0.00034637
2.35349494   0.00034666
