lambda            k
2.28885328   0.00604226
2.28937729   0.00605225
2.28990153   0.00606227
2.29042602   0.00607231
2.29095074   0.00608238
2.29147571   0.00609247
2.29200092   0.00610259
2.29252636   0.00611273
2.29305205   0.00612289
2.29357798   0.00613309
2.29410415   0.00614330
2.29463056   0.00615354
2.29515722   0.00616381
2.29568411   0.00617410
2.29621125   0.00618441
2.29673863   0.00619475
2.29726625   0.00620512
2.29779412   0.00621551
2.29832222   0.00622593
2.29885057   0.00623637
2.29937917   0.00624684
2.29990800   0.00625733
2.30000000   0.00288326
2.30000000   0.00288326
2.30043708   0.00626785
2.30096641   0.00627840
2.30149597   0.00628898
2.30202578   0.00629958
2.30255584   0.00631020
2.30308614   0.00632085
2.30361668   0.00633153
2.30414747   0.00634224
2.30467850   0.00635297
2.30520977   0.00636372
2.30574130   0.00637451
2.30627306   0.00638532
2.30680507   0.00639616
2.30733733   0.00640702
2.30786984   0.00641791
2.30840259   0.00642883
2.30893558   0.00643978
2.30946882   0.00645076
2.31000231   0.00646176
2.31053604   0.00647279
2.31107003   0.00648384
2.31160425   0.00649493
2.31213873   0.00650604
2.31267345   0.00651718
2.31320842   0.00652835
2.31374364   0.00653955
2.31427910   0.00655077
2.31481481   0.00656202
2.31535078   0.00657330
2.31588698   0.00658461
2.31642344   0.00659595
2.31696015   0.00660732
2.31749710   0.00661872
2.31803431   0.00663014
2.31857176   0.00664160
2.31910946   0.00665308
2.31964741   0.00666459
2.32018561   0.00667613
2.32072407   0.00668770
2.32126277   0.00669930
2.32180172   0.00671093
2.32234092   0.00672259
2.32288037   0.00673428
2.32342007   0.00674600
2.32396003   0.00675775
2.32450023   0.00676953
2.32504069   0.00678134
2.32558140   0.00679318
2.32612235   0.00680505
2.32666356   0.00681695
2.32720503   0.00682888
2.32774674   0.00684084
2.32828871   0.00685283
2.32883093   0.00686486
2.32937340   0.00687691
2.32991612   0.00688900
2.33045910   0.00690112
2.33100233   0.00691326
2.33154581   0.00692544
2.33208955   0.00693765
2.33263354   0.00694990
2.33317779   0.00696217
2.33372229   0.00697448
2.33426704   0.00698682
2.33481205   0.00699919
2.33535731   0.00701159
2.33590283   0.00702402
2.33644860   0.00703649
2.33699462   0.00704899
2.33754091   0.00706152
2.33808744   0.00707409
2.33863424   0.00708669
2.33918129   0.00709932
2.33972859   0.00711198
2.34027615   0.00712468
2.34082397   0.00713741
2.34137204   0.00715018
2.34192037   0.00716297
2.34246896   0.00717581
2.34301781   0.00718867
2.34356691   0.00720157
2.34411627   0.00721450
2.34466589   0.00722747
2.34521576   0.00724047
2.34576589   0.00725351
2.34631628   0.00726658
2.34686693   0.00727968
2.34741784   0.00729282
2.34796901   0.00730600
2.34852043   0.00731921
2.34907212   0.00733245
2.34962406   0.00734573
2.35017626   0.00735905
2.35072873   0.00737240
2.35128145   0.00738579
2.35183443   0.00739921
2.35238767   0.00741267
2.35294118   0.00742616
2.35349494   0.00743969
2.35404896   0.00745326
2.35460325   0.00746686
2.35515780   0.00748050
2.35571260   0.00749418
2.35626767   0.00750789
2.35682300   0.00752164
2.35737860   0.00753543
2.35793445   0.00754925
2.35849057   0.00756311
2.35904695   0.00757701
2.35960359   0.00759095
2.36016049   0.00760492
2.36071766   0.00761893
2.36127509   0.00763298
2.36183278   0.00764707
2.36239074   0.00766120
2.36294896   0.00767536
2.36350745   0.00768957
2.36406619   0.00770381
2.36462521   0.00771809
2.36518448   0.00773241
2.36574403   0.00774677
2.36630383   0.00776116
2.36686391   0.00777560
2.36742424   0.00779008
2.36798484   0.00780459
2.36854571   0.00781915
2.36910685   0.00783374
2.36966825   0.00784838
2.37022991   0.00786306
2.37079184   0.00787777
2.37135404   0.00789253
2.37191651   0.00790733
2.37247924   0.00792217
2.37304224   0.00793705
2.37360551   0.00795197
2.37416904   0.00796693
2.37473284   0.00798193
2.37529691   0.00799698
2.37586125   0.00801206
2.37642586   0.00802719
2.37699073   0.00804236
2.37755587   0.00805758
2.37812128   0.00807283
2.37868696   0.00808813
2.37925291   0.00810347
2.37981913   0.00811885
2.38038562   0.00813428
2.38095238   0.00814975
2.38151941   0.00816526
2.38208671   0.00818081
2.38265428   0.00819641
2.38322212   0.00821206
